Project Name,Street Name,Property Type,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Type of Area,Area (SQM),Unit Price ($ PSM),Tenure,Postal District,Floor Level
SERANGOON GARDEN ESTATE,SERANGOON GARDEN WAY,Shop House,"17,490,000.00","3,101.11","5,640",May-23,Land,288.1,"60,708",999 yrs lease commencing from 1957,19,-
LITTLE INDIA CONSERVATION AREA,DALHOUSIE LANE,Shop House,"2,900,000.00","1,064.56","2,724",May-23,Land,98.9,"29,323",99 yrs lease commencing from 1993,08,-
KAMPONG GLAM CONSERVATION AREA,BUSSORAH STREET,Shop House,"7,100,000.00","1,233.55","5,756",May-23,Land,114.6,"61,955",99 yrs lease commencing from 1995,07,-
GEYLANG CONSERVATION AREA,GEYLANG ROAD,Shop House,"4,900,000.00","1,092.55","4,485",May-23,Land,101.5,"48,276",Freehold,14,-
N.A.,JALAN BESAR,Shop House,"26,000,000.00","3,797.54","6,847",May-23,Land,352.8,"73,696",999 yrs lease commencing from 1919,08,-
N.A.,BALESTIER ROAD,Shop House,"6,088,888.00","1,894.46","3,214",May-23,Strata,176,"34,596",Freehold,12,-
THOMSON GARDEN ESTATE,UPPER THOMSON ROAD,Shop House,"5,800,000.00","1,909.53","3,037",May-23,Land,177.4,"32,694",Freehold,20,-
LITTLE INDIA CONSERVATION AREA,CUFF ROAD,Shop House,"6,500,000.00","1,725.47","3,767",Apr-23,Land,160.3,"40,549",Freehold,08,-
DESKER ROAD CONSERVATION AREA,MAUDE ROAD,Shop House,"7,620,000.00","1,293.83","5,889",Apr-23,Land,120.2,"63,394",Freehold,08,-
TANJONG PAGAR CONSERVATION AREA,DUXTON HILL,Shop House,"14,300,000.00","1,252.93","11,413",Apr-23,Land,116.4,"122,852",99 yrs lease commencing from 1988,02,-
N.A.,UPPER SERANGOON ROAD,Shop House,"11,200,888.00","2,794.33","4,008",Apr-23,Land,259.6,"43,147",Freehold,19,-
RACE COURSE RD/OWEN RD CON AREA,RACE COURSE ROAD,Shop House,"4,200,000.00","1,326.12","3,167",Apr-23,Land,123.2,"34,091",Freehold,08,-
KAMPONG GLAM CONSERVATION AREA,BUSSORAH STREET,Shop House,"4,500,000.00",661.99,"6,798",Apr-23,Land,61.5,"73,171",99 yrs lease commencing from 2003,07,-
DESKER ROAD CONSERVATION AREA,ROWELL ROAD,Shop House,"13,500,000.00","2,212","6,103",Apr-23,Land,205.5,"65,693",Freehold,08,-
GEYLANG CONSERVATION AREA,GEYLANG ROAD,Shop House,"4,760,000.00","1,491.89","3,191",Apr-23,Land,138.6,"34,343",Freehold,14,-
N.A.,SOUTH BUONA VISTA ROAD,Shop House,"7,300,000.00","2,171.10","3,362",Apr-23,Land,201.7,"36,192",Freehold,05,-
DESKER ROAD CONSERVATION AREA,SAM LEONG ROAD,Shop House,"7,500,000.00","1,354.11","5,539",Apr-23,Land,125.8,"59,618",Freehold,08,-
SERANGOON GARDEN ESTATE,SERANGOON GARDEN WAY,Shop House,"8,650,000.00","1,502.65","5,756",Mar-23,Land,139.6,"61,963",999 yrs lease commencing from 1957,19,-
