ID,Month Year,Project Name,Street Name,Planning Area,Type of Sale,Price,$psm,Area,Tenure,Contract Date,Property Type,Type Of Area,Floor Level,Region,Postal Sector,Postal District,,,,,,,,,
96833,2024-12,MIDVIEW CITY,SIN MING LANE,Bishan,Resale,"$830,000","$6,917",120,60 yrs from 23/01/2008,12/10/2024,Multiple-User Factory,Strata,Non-First Floor,Central Region,57,20,,,,,,,,,
96834,2024-12,ASCENT @ GAMBAS,GAMBAS WAY,Sembawang,Resale,"$930,000","$5,776",161,26 yrs from 13/09/2023,12/10/2024,Multiple-User Factory,Strata,Non-First Floor,North Region,75,27,,,,,,,,,
96835,2024-12,TUAS SOUTH CONNECTION,TUAS SOUTH LINK 1,Tuas,Resale,"$5,639,000","$3,445",1637,30 yrs from 24/10/2018,12/9/2024,Multiple-User Factory,Strata,-,West Region,63,22,,,,,,,,,
96836,2024-12,MIDVIEW CITY,SIN MING LANE,Bishan,Resale,"$875,500","$6,583",133,60 yrs from 23/01/2008,12/9/2024,Multiple-User Factory,Strata,Non-First Floor,Central Region,57,20,,,,,,,,,
96837,2024-12,EUNOS TECHPARK,KAKI BUKIT PLACE,Bedok,Resale,"$840,000","$5,526",152,60 yrs from 20/11/1995,12/9/2024,Multiple-User Factory,Strata,Non-First Floor,East Region,41,14,,,,,,,,,
96838,2024-12,NORTH SPRING BIZHUB,YISHUN INDUSTRIAL STREET 1,Yishun,Resale,"$798,000","$5,503",145,60 yrs from 01/02/2011,12/6/2024,Multiple-User Factory,Strata,Non-First Floor,North Region,76,27,,,,,,,,,
96839,2024-12,TOH GUAN CENTRE,TOH GUAN ROAD EAST,Clementi,Resale,"$5,000,000","$4,579",1092,60 yrs from 01/12/1997,12/6/2024,Multiple-User Factory,Strata,Non-First Floor,West Region,60,22,,,,,,,,,
96840,2024-12,TUAS COVE INDUSTRIAL CENTRE,TUAS SOUTH AVENUE 1,Tuas,Resale,"$3,200,000","$2,006",1595,60 yrs from 04/01/1999,12/6/2024,Multiple-User Factory,Strata,-,West Region,63,22,,,,,,,,,
96841,2024-12,FOOD XCHANGE @ ADMIRALTY,ADMIRALTY STREET,Sembawang,Resale,"$1,600,000","$6,154",260,60 yrs from 09/10/2000,12/6/2024,Multiple-User Factory,Strata,Non-First Floor,North Region,75,27,,,,,,,,,
96842,2024-12,PAYA LEBAR 178,PAYA LEBAR ROAD,Geylang,Resale,"$1,750,000","$13,359",131,Freehold,12/6/2024,Multiple-User Factory,Strata,Non-First Floor,Central Region,40,14,,,,,,,,,
96843,2024-12,MIDVIEW BUILDING,BUKIT BATOK STREET 23,Bukit Batok,Resale,"$520,000","$4,333",120,60 yrs from 13/03/1997,12/6/2024,Multiple-User Factory,Strata,Non-First Floor,West Region,65,23,,,,,,,,,
96844,2024-12,WOODLANDS 11,WOODLANDS CLOSE,Woodlands,Resale,"$1,088,888","$6,049",180,60 yrs from 05/07/2010,12/6/2024,Multiple-User Factory,Strata,Non-First Floor,North Region,73,25,,,,,,,,,
96845,2024-12,,KIAN TECK CRESCENT,Jurong West,Resale,"$9,800,000","$1,858",5275,30+19 yrs from 01/08/1993,12/6/2024,Single-User Factory,Land,-,West Region,62,22,,,,,,,,,
96846,2024-12,SYNERGY @ KB,KAKI BUKIT ROAD 4,Bedok,Resale,"$490,000","$4,336",113,30 yrs from 20/01/2012,12/5/2024,Multiple-User Factory,Strata,Non-First Floor,East Region,41,14,,,,,,,,,
96847,2024-12,NORTH SPRING BIZHUB,YISHUN INDUSTRIAL STREET 1,Yishun,Resale,"$888,888","$6,216",143,60 yrs from 01/02/2011,12/5/2024,Multiple-User Factory,Strata,First Floor,North Region,76,27,,,,,,,,,
96848,2024-12,CT HUB,KALLANG AVENUE,Kallang,Resale,"$990,000","$10,532",94,99 yrs from 14/01/1976,12/5/2024,Multiple-User Factory,Strata,Non-First Floor,Central Region,33,12,,,,,,,,,
96849,2024-12,OXLEY BIZHUB,UBI ROAD 1,Geylang,Resale,"$600,000","$6,818",88,60 yrs from 15/11/2010,12/5/2024,Multiple-User Factory,Strata,Non-First Floor,Central Region,40,14,,,,,,,,,
96850,2024-12,MANDAI CONNECTION,MANDAI LINK,Sungei Kadut,Resale,"$562,000","$3,535",159,30 yrs from 20/11/2012,12/5/2024,Multiple-User Factory,Strata,Non-First Floor,North Region,72,25,,,,,,,,,
96851,2024-12,LIP HING INDUSTRIAL BUILDING,PEMIMPIN DRIVE,Bishan,Resale,"$1,100,000","$8,800",125,999 yrs from 06/07/1885,12/5/2024,Multiple-User Factory,Strata,Non-First Floor,Central Region,57,20,,,,,,,,,
96852,2024-12,AZ @ PAYA LEBAR,PAYA LEBAR ROAD,Geylang,Resale,"$2,100,000","$18,919",111,Freehold,12/4/2024,Multiple-User Factory,Strata,Non-First Floor,Central Region,40,14,,,,,,,,,
96853,2024-12,OXLEY BIZHUB,UBI ROAD 1,Geylang,Resale,"$780,000","$8,478",92,60 yrs from 15/11/2010,12/4/2024,Warehouse,Strata,Non-First Floor,Central Region,40,14,,,,,,,,,
96854,2024-12,OXLEY BIZHUB 2,UBI ROAD 1,Geylang,Resale,"$680,000","$7,158",95,60 yrs from 10/06/2011,12/4/2024,Multiple-User Factory,Strata,Non-First Floor,Central Region,40,14,,,,,,,,,
96855,2024-12,ONE PEMIMPIN,PEMIMPIN DRIVE,Bishan,Resale,"$1,700,000","$12,977",131,999 yrs from 06/07/1885,12/4/2024,Multiple-User Factory,Strata,Non-First Floor,Central Region,57,20,,,,,,,,,
96856,2024-12,WCEGA TOWER,BUKIT BATOK CRESCENT,Bukit Batok,Resale,"$625,000","$6,250",100,60 yrs from 13/03/1997,12/4/2024,Multiple-User Factory,Strata,Non-First Floor,West Region,65,23,,,,,,,,,
96857,2024-12,LOYANG ENTERPRISE BUILDING,LOYANG WAY,Pasir Ris,Resale,"$895,000","$2,266",395,30 yrs from 04/09/2013,12/4/2024,Multiple-User Factory,Strata,Non-First Floor,East Region,50,17,,,,,,,,,
96858,2024-12,UBI TECHPARK,UBI CRESCENT,Geylang,Resale,"$902,888","$5,863",154,60 yrs from 05/07/1997,12/3/2024,Multiple-User Factory,Strata,Non-First Floor,Central Region,40,14,,,,,,,,,
96859,2024-12,UB. ONE,UBI AVENUE 4,Geylang,Resale,"$890,000","$7,355",121,60 yrs from 31/12/2008,12/3/2024,Warehouse,Strata,Non-First Floor,Central Region,40,14,,,,,,,,,
96860,2024-12,PAYA LEBAR 178,PAYA LEBAR ROAD,Geylang,Resale,"$2,023,000","$13,669",148,Freehold,12/3/2024,Multiple-User Factory,Strata,Non-First Floor,Central Region,40,14,,,,,,,,,
96861,2024-12,MANDAI CONNECTION,MANDAI LINK,Sungei Kadut,Resale,"$550,000","$3,503",157,30 yrs from 20/11/2012,12/3/2024,Multiple-User Factory,Strata,Non-First Floor,North Region,72,25,,,,,,,,,
96862,2024-12,CT FOODCHAIN,PANDAN LOOP,Clementi,Resale,"$1,650,000","$10,061",164,99 yrs from 27/01/1984,12/3/2024,Multiple-User Factory,Strata,Non-First Floor,West Region,12,5,,,,,,,,,
96863,2024-12,PIONEER JUNCTION,SOON LEE STREET,Jurong West,Resale,"$365,000","$3,578",102,30 yrs from 07/03/2011,12/2/2024,Multiple-User Factory,Strata,First Floor,West Region,62,22,,,,,,,,,
96864,2024-12,PIONEER CENTRE,SOON LEE STREET,Jurong West,Resale,"$504,000","$2,864",176,30 yrs from 10/03/2010,12/2/2024,Multiple-User Factory,Strata,Non-First Floor,West Region,62,22,,,,,,,,,
96865,2024-12,OXLEY BIZHUB,UBI ROAD 1,Geylang,Resale,"$700,000","$7,955",88,60 yrs from 15/11/2010,12/2/2024,Multiple-User Factory,Strata,Non-First Floor,Central Region,40,14,,,,,,,,,
96866,2024-12,SPACE 18,LORONG AMPAS,Novena,New Sale,"$2,664,750","$16,248",164,Freehold,12/2/2024,Multiple-User Factory,Strata,Non-First Floor,Central Region,32,12,,,,,,,,,
96867,2024-12,SPACE 18,LORONG AMPAS,Novena,New Sale,"$2,672,350","$16,598",161,Freehold,12/2/2024,Multiple-User Factory,Strata,Non-First Floor,Central Region,32,12,,,,,,,,,
96868,2024-12,SPACE 18,LORONG AMPAS,Novena,New Sale,"$2,672,350","$16,598",161,Freehold,12/2/2024,Multiple-User Factory,Strata,Non-First Floor,Central Region,32,12,,,,,,,,,
96869,2024-12,VERTEX,UBI AVENUE 3,Geylang,Resale,"$1,233,728","$5,608",220,60 yrs from 01/01/2007,12/2/2024,Warehouse,Strata,Non-First Floor,Central Region,40,14,,,,,,,,,
96870,2024-12,VERTEX,UBI AVENUE 3,Geylang,Resale,"$1,233,728","$5,608",220,60 yrs from 01/01/2007,12/2/2024,Warehouse,Strata,Non-First Floor,Central Region,40,14,,,,,,,,,
95914,2024-11,,GUL LINK,Pioneer,Resale,"$3,650,000","$2,871",1271,30+30 yrs from 01/12/1990,11/29/2024,Single-User Factory,Land,-,West Region,62,22,,,,,,,,,
95915,2024-11,CITY WAREHOUSE,KAKI BUKIT ROAD 2,Bedok,Resale,"$1,228,700","$2,377",517,60 yrs from 17/12/1981,11/29/2024,Warehouse,Strata,First Floor,East Region,41,14,,,,,,,,,
95916,2024-11,TONG LEE BUILDING,KALLANG PUDDING ROAD,Geylang,Resale,"$2,000,000","$7,491",267,Freehold,11/29/2024,Multiple-User Factory,Strata,Non-First Floor,Central Region,34,13,,,,,,,,,
95917,2024-11,HARVEST @ WOODLANDS,WOODLANDS INDUSTRIAL PARK E5,Woodlands,Resale,"$670,000","$4,351",154,60 yrs from 05/10/2009,11/29/2024,Multiple-User Factory,Strata,Non-First Floor,North Region,75,27,,,,,,,,,
95918,2024-11,8 @ TRADEHUB 21,BOON LAY WAY,Clementi,Resale,"$1,002,500","$5,115",196,60 yrs from 10/12/2003,11/29/2024,Multiple-User Factory,Strata,Non-First Floor,West Region,60,22,,,,,,,,,
95919,2024-11,SHUN LI INDUSTRIAL PARK,KAKI BUKIT AVENUE 1,Bedok,Resale,"$1,050,000","$4,839",217,60 yrs from 30/10/1996,11/29/2024,Multiple-User Factory,Strata,Non-First Floor,East Region,41,14,,,,,,,,,
95920,2024-11,TUAS SOUTH CONNECTION,TUAS SOUTH LINK 1,Tuas,Resale,"$5,588,000","$3,445",1622,30 yrs from 24/10/2018,11/29/2024,Multiple-User Factory,Strata,-,West Region,63,22,,,,,,,,,
95921,2024-11,,NEYTHAL ROAD,Boon Lay,Resale,"$3,250,000",$812,4003,60 yrs from 01/02/1971,11/29/2024,Single-User Factory,Land,-,West Region,62,22,,,,,,,,,
95922,2024-11,BIZTECH CENTRE,ALJUNIED ROAD,Geylang,Resale,"$1,041,800","$12,402",84,Freehold,11/29/2024,Multiple-User Factory,Strata,Non-First Floor,Central Region,38,14,,,,,,,,,
95923,2024-11,UBI TECHPARK,UBI CRESCENT,Geylang,Resale,"$700,000","$7,368",95,60 yrs from 05/07/1997,11/29/2024,Multiple-User Factory,Strata,Non-First Floor,Central Region,40,14,,,,,,,,,
95924,2024-11,WOODLANDS HORIZON,WOODLANDS CLOSE,Woodlands,Resale,"$820,000","$5,325",154,60 yrs from 29/02/2012,11/28/2024,Multiple-User Factory,Strata,Non-First Floor,North Region,73,25,,,,,,,,,
95925,2024-11,PAYA UBI INDUSTRIAL PARK,UBI AVENUE 1,Geylang,Resale,"$1,450,000","$2,883",503,60 yrs from 10/03/1997,11/28/2024,Multiple-User Factory,Strata,Non-First Floor,Central Region,40,14,,,,,,,,,
95926,2024-11,TRADEHUB 21,BOON LAY WAY,Clementi,Resale,"$758,960","$5,706",133,60 yrs from 10/12/2003,11/28/2024,Multiple-User Factory,Strata,Non-First Floor,West Region,60,22,,,,,,,,,
95927,2024-11,THE SPLENDOUR,BUKIT BATOK CRESCENT,Bukit Batok,Resale,"$3,500,000","$4,348",805,60 yrs from 13/03/1997,11/28/2024,Multiple-User Factory,Strata,First Floor,West Region,65,23,,,,,,,,,
95928,2024-11,VERTEX,UBI AVENUE 3,Geylang,Resale,"$1,188,000","$5,910",201,60 yrs from 01/01/2007,11/28/2024,Multiple-User Factory,Strata,Non-First Floor,Central Region,40,14,,,,,,,,,
95929,2024-11,MEGA@WOODLANDS,WOODLANDS CLOSE,Woodlands,Resale,"$668,000","$4,098",163,30 yrs from 29/09/2014,11/28/2024,Multiple-User Factory,Strata,Non-First Floor,North Region,73,25,,,,,,,,,
95930,2024-11,MEGA@WOODLANDS,WOODLANDS CLOSE,Woodlands,Resale,"$620,000","$3,899",159,30 yrs from 29/09/2014,11/28/2024,Multiple-User Factory,Strata,Non-First Floor,North Region,73,25,,,,,,,,,
95931,2024-11,GLEASON,TANNERY LANE,Geylang,Resale,"$34,500,000","$25,383",1359,Freehold,11/27/2024,Single-User Factory,Land,-,Central Region,34,13,,,,,,,,,
95932,2024-11,PROXIMA@GAMBAS,GAMBAS CRESCENT,Sembawang,Resale,"$720,000","$2,278",316,30 yrs from 25/11/2014,11/27/2024,Multiple-User Factory,Strata,First Floor,North Region,75,27,,,,,,,,,
95933,2024-11,FRONTIER,UBI AVENUE 3,Geylang,Resale,"$950,000","$4,634",205,60 yrs from 04/01/1999,11/27/2024,Multiple-User Factory,Strata,Non-First Floor,Central Region,40,14,,,,,,,,,
95934,2024-11,PREMIER @ KAKI BUKIT,KAKI BUKIT AVENUE 4,Bedok,Resale,"$1,500,000","$5,245",286,60 yrs from 15/12/2010,11/27/2024,Multiple-User Factory,Strata,Non-First Floor,East Region,41,14,,,,,,,,,
95935,2024-11,PRIMZ BIZHUB,WOODLANDS CLOSE,Woodlands,Resale,"$758,888","$6,023",126,60 yrs from 27/09/2011,11/27/2024,Multiple-User Factory,Strata,Non-First Floor,North Region,73,25,,,,,,,,,
95936,2024-11,NORTH LINK BUILDING,ADMIRALTY STREET,Sembawang,Resale,"$1,295,000","$2,687",482,60 yrs from 09/10/1999,11/27/2024,Multiple-User Factory,Strata,Non-First Floor,North Region,75,27,,,,,,,,,
95937,2024-11,INNOVATION PLACE,MANDAI ESTATE,Sungei Kadut,Resale,"$975,000","$7,222",135,Freehold,11/27/2024,Multiple-User Factory,Strata,Non-First Floor,North Region,72,25,,,,,,,,,
95938,2024-11,,LORONG 23 GEYLANG,Geylang,Resale,"$10,380,000","$26,877",386,Freehold,11/27/2024,Multiple-User Factory,Land,-,Central Region,38,14,,,,,,,,,
95939,2024-11,WCEGA PLAZA,BUKIT BATOK CRESCENT,Bukit Batok,Resale,"$800,000","$3,333",240,60 yrs from 13/03/1997,11/26/2024,Multiple-User Factory,Strata,Non-First Floor,West Region,65,23,,,,,,,,,
95940,2024-11,VERTEX,UBI AVENUE 3,Geylang,Resale,"$890,000","$6,054",147,60 yrs from 01/01/2007,11/26/2024,Multiple-User Factory,Strata,Non-First Floor,Central Region,40,14,,,,,,,,,
95941,2024-11,NORTHSTAR @ AMK,ANG MO KIO AVENUE 5,Serangoon,Resale,"$1,200,000","$6,897",174,60 yrs from 01/01/2007,11/26/2024,Multiple-User Factory,Strata,Non-First Floor,North-East Region,56,20,,,,,,,,,
95942,2024-11,PREMIER @ KAKI BUKIT,KAKI BUKIT AVENUE 4,Bedok,Resale,"$1,350,000","$4,720",286,60 yrs from 15/12/2010,11/26/2024,Multiple-User Factory,Strata,Non-First Floor,East Region,41,14,,,,,,,,,
95943,2024-11,TUAS LOT,TUAS AVENUE 11,Tuas,Resale,"$1,250,000","$1,222",1023,30 yrs from 15/02/2008,11/26/2024,Multiple-User Factory,Strata,First Floor,West Region,63,22,,,,,,,,,
95944,2024-11,,TUAS AVENUE 3,Tuas,Resale,"$8,000,000","$1,907",4195,30+30 yrs from 01/09/1989,11/26/2024,Single-User Factory,Land,-,West Region,63,22,,,,,,,,,
95945,2024-11,,PANDAN LOOP,Clementi,Resale,"$42,000,000","$4,676",8983,30+30 yrs from 16/09/1989,11/26/2024,Single-User Factory,Land,-,West Region,12,5,,,,,,,,,
95946,2024-11,WINTECH CENTRE,UBI ROAD 1,Geylang,Resale,"$1,030,000","$5,920",174,60 yrs from 05/07/1997,11/26/2024,Multiple-User Factory,Strata,First Floor,Central Region,40,14,,,,,,,,,
95947,2024-11,T-SPACE,TAMPINES NORTH DRIVE 1,Tampines,Resale,"$762,000","$3,387",225,30 yrs from 20/03/2015,11/26/2024,Multiple-User Factory,Strata,Non-First Floor,East Region,52,18,,,,,,,,,
95948,2024-11,TAG A,TAGORE LANE,Ang Mo Kio,Resale,"$2,300,000","$6,805",338,Freehold,11/26/2024,Multiple-User Factory,Strata,Non-First Floor,North-East Region,78,26,,,,,,,,,
95949,2024-11,MIDVIEW CITY,SIN MING LANE,Bishan,Resale,"$772,000","$6,433",120,60 yrs from 23/01/2008,11/25/2024,Multiple-User Factory,Strata,Non-First Floor,Central Region,57,20,,,,,,,,,
95950,2024-11,WCEGA PLAZA,BUKIT BATOK CRESCENT,Bukit Batok,Resale,"$700,000","$3,182",220,60 yrs from 13/03/1997,11/25/2024,Multiple-User Factory,Strata,Non-First Floor,West Region,65,23,,,,,,,,,
95951,2024-11,NUMBER ONE BUILDING,UBI CRESCENT,Geylang,Resale,"$630,000","$4,922",128,60 yrs from 05/07/1997,11/25/2024,Multiple-User Factory,Strata,Non-First Floor,Central Region,40,14,,,,,,,,,
95952,2024-11,SPACE 18,LORONG AMPAS,Novena,New Sale,"$2,650,234","$16,461",161,Freehold,11/25/2024,Multiple-User Factory,Strata,Non-First Floor,Central Region,32,12,,,,,,,,,
95953,2024-11,PRIMZ BIZHUB,WOODLANDS CLOSE,Woodlands,Resale,"$580,000","$6,667",87,60 yrs from 27/09/2011,11/25/2024,Multiple-User Factory,Strata,Non-First Floor,North Region,73,25,,,,,,,,,
95954,2024-11,UB. ONE,UBI AVENUE 4,Geylang,Resale,"$1,207,680","$7,319",165,60 yrs from 31/12/2008,11/25/2024,Warehouse,Strata,Non-First Floor,Central Region,40,14,,,,,,,,,
95955,2024-11,HARVEST @ WOODLANDS,WOODLANDS INDUSTRIAL PARK E5,Woodlands,Resale,"$710,000","$4,522",157,60 yrs from 05/10/2009,11/25/2024,Multiple-User Factory,Strata,Non-First Floor,North Region,75,27,,,,,,,,,
95956,2024-11,THE COMMERZE@IRVING,IRVING PLACE,Toa Payoh,Resale,"$1,000,000","$6,369",157,60 yrs from 26/09/2011,11/25/2024,Multiple-User Factory,Strata,Non-First Floor,Central Region,36,13,,,,,,,,,
95957,2024-11,UB. ONE,UBI AVENUE 4,Geylang,Resale,"$555,000","$6,453",86,60 yrs from 31/12/2008,11/25/2024,Multiple-User Factory,Strata,Non-First Floor,Central Region,40,14,,,,,,,,,
95958,2024-11,MIDVIEW CITY,SIN MING LANE,Bishan,Resale,"$858,888","$5,614",153,60 yrs from 23/01/2008,11/25/2024,Multiple-User Factory,Strata,Non-First Floor,Central Region,57,20,,,,,,,,,
95959,2024-11,CT HUB 2,LAVENDER STREET,Kallang,Resale,"$1,210,000","$13,444",90,63 yrs from 12/01/2012,11/22/2024,Multiple-User Factory,Strata,Non-First Floor,Central Region,33,12,,,,,,,,,
95960,2024-11,CT HUB 2,LAVENDER STREET,Kallang,Resale,"$1,210,000","$13,444",90,63 yrs from 12/01/2012,11/22/2024,Multiple-User Factory,Strata,Non-First Floor,Central Region,33,12,,,,,,,,,
95961,2024-11,ENTREPRENEUR BUSINESS CENTRE,KAKI BUKIT ROAD 3,Bedok,Resale,"$1,080,000","$3,816",283,60 yrs from 09/01/1995,11/22/2024,Multiple-User Factory,Strata,Non-First Floor,East Region,41,14,,,,,,,,,
95962,2024-11,PAYA UBI INDUSTRIAL PARK,UBI AVENUE 1,Geylang,Resale,"$1,885,000","$2,887",653,60 yrs from 10/03/1997,11/22/2024,Multiple-User Factory,Strata,First Floor,Central Region,40,14,,,,,,,,,
95963,2024-11,THE COMMERZE@IRVING,IRVING PLACE,Toa Payoh,Resale,"$750,000","$7,576",99,60 yrs from 26/09/2011,11/22/2024,Multiple-User Factory,Strata,Non-First Floor,Central Region,36,13,,,,,,,,,
95964,2024-11,,BENOI SECTOR,Pioneer,Resale,"$17,000,000","$1,430",11889,20 yrs from 26/02/2025,11/22/2024,Single-User Factory,Land,-,West Region,62,22,,,,,,,,,
95965,2024-11,PIONEER POINT,SOON LEE STREET,Jurong West,Resale,"$330,000","$3,708",89,30 yrs from 17/10/2011,11/21/2024,Multiple-User Factory,Strata,Non-First Floor,West Region,62,22,,,,,,,,,
95966,2024-11,CITITECH INDUSTRIAL BUILDING,ALJUNIED ROAD,Geylang,Resale,"$1,250,000","$9,843",127,Freehold,11/21/2024,Multiple-User Factory,Strata,Non-First Floor,Central Region,38,14,,,,,,,,,
95967,2024-11,ENTERPRISE HUB,TOH GUAN ROAD EAST,Clementi,Resale,"$2,050,000","$3,541",579,60 yrs from 01/12/1997,11/21/2024,Multiple-User Factory,Strata,First Floor,West Region,60,22,,,,,,,,,
95968,2024-11,TAGORE 8,TAGORE INDUSTRIAL AVENUE,Ang Mo Kio,Resale,"$1,600,000","$7,339",218,Freehold,11/21/2024,Multiple-User Factory,Strata,Non-First Floor,North-East Region,78,26,,,,,,,,,
95969,2024-11,WOODLANDS HORIZON,WOODLANDS CLOSE,Woodlands,Resale,"$845,000","$5,314",159,60 yrs from 29/02/2012,11/21/2024,Multiple-User Factory,Strata,Non-First Floor,North Region,73,25,,,,,,,,,
95970,2024-11,,GUL DRIVE,Pioneer,Resale,"$8,000,000","$2,089",3830,30+30 yrs from 16/12/1990,11/21/2024,Single-User Factory,Land,-,West Region,62,22,,,,,,,,,
95971,2024-11,WOODLANDS BIZHUB,WOODLANDS INDUSTRIAL PARK E5,Woodlands,Resale,"$4,150,000","$5,519",752,57 yrs from 09/04/2011,11/21/2024,Multiple-User Factory,Strata,-,North Region,75,27,,,,,,,,,
95972,2024-11,LINK@AMK,ANG MO KIO STREET 62,Ang Mo Kio,Resale,"$1,510,000","$7,550",200,60 yrs from 28/06/2011,11/20/2024,Warehouse,Strata,First Floor,North-East Region,56,20,,,,,,,,,
95973,2024-11,ECO-TECH@SUNVIEW,SUNVIEW ROAD,Boon Lay,Resale,"$430,000","$1,777",242,30 yrs from 25/01/2013,11/20/2024,Multiple-User Factory,Strata,Non-First Floor,West Region,62,22,,,,,,,,,
95974,2024-11,HARVEST @ WOODLANDS,WOODLANDS INDUSTRIAL PARK E5,Woodlands,Resale,"$850,000","$4,802",177,60 yrs from 05/10/2009,11/19/2024,Multiple-User Factory,Strata,Non-First Floor,North Region,75,27,,,,,,,,,
95975,2024-11,TAG A,TAGORE LANE,Ang Mo Kio,Resale,"$2,080,000","$9,043",230,Freehold,11/19/2024,Multiple-User Factory,Strata,First Floor,North-East Region,78,26,,,,,,,,,
95976,2024-11,NORTH SPRING BIZHUB,YISHUN INDUSTRIAL STREET 1,Yishun,Resale,"$868,000","$6,070",143,60 yrs from 01/02/2011,11/19/2024,Multiple-User Factory,Strata,First Floor,North Region,76,27,,,,,,,,,
95977,2024-11,NORTH SPRING BIZHUB,YISHUN INDUSTRIAL STREET 1,Yishun,Resale,"$868,000","$5,986",145,60 yrs from 01/02/2011,11/19/2024,Multiple-User Factory,Strata,First Floor,North Region,76,27,,,,,,,,,
95978,2024-11,MIDVIEW BUILDING,BUKIT BATOK STREET 23,Bukit Batok,Resale,"$880,000","$4,251",207,60 yrs from 13/03/1997,11/19/2024,Multiple-User Factory,Strata,Non-First Floor,West Region,65,23,,,,,,,,,
95979,2024-11,TUAS LOT,TUAS AVENUE 11,Tuas,Resale,"$650,000","$1,208",538,30 yrs from 15/02/2008,11/19/2024,Multiple-User Factory,Strata,First Floor,West Region,63,22,,,,,,,,,
95980,2024-11,9 @ TAGORE,TAGORE LANE,Ang Mo Kio,Resale,"$1,880,000","$5,646",333,Freehold,11/18/2024,Multiple-User Factory,Strata,Non-First Floor,North-East Region,78,26,,,,,,,,,
95981,2024-11,YI GUANG FACTORY BUILDING,PAYA LEBAR ROAD,Geylang,Resale,"$2,501,888","$8,627",290,Freehold,11/18/2024,Multiple-User Factory,Strata,Non-First Floor,Central Region,40,14,,,,,,,,,
95982,2024-11,ENTERPRISE HUB,TOH GUAN ROAD EAST,Clementi,Resale,"$1,315,000","$3,516",374,60 yrs from 01/12/1997,11/18/2024,Multiple-User Factory,Strata,Non-First Floor,West Region,60,22,,,,,,,,,
95983,2024-11,THE CRESCENT @ KALLANG,KALLANG PUDDING ROAD,Geylang,Resale,"$1,225,000","$6,694",183,60 yrs from 06/03/2009,11/18/2024,Multiple-User Factory,Strata,Non-First Floor,Central Region,34,13,,,,,,,,,
95984,2024-11,LINK@AMK,ANG MO KIO STREET 62,Ang Mo Kio,Resale,"$1,155,000","$5,775",200,60 yrs from 28/06/2011,11/15/2024,Multiple-User Factory,Strata,Non-First Floor,North-East Region,56,20,,,,,,,,,
95985,2024-11,UBI TECHPARK,UBI CRESCENT,Geylang,Resale,"$650,000","$6,250",104,60 yrs from 05/07/1997,11/15/2024,Multiple-User Factory,Strata,Non-First Floor,Central Region,40,14,,,,,,,,,
95986,2024-11,ENTERPRISE ONE,KAKI BUKIT ROAD 1,Bedok,Resale,"$1,133,000","$5,665",200,60 yrs from 09/07/1996,11/15/2024,Multiple-User Factory,Strata,Non-First Floor,East Region,41,14,,,,,,,,,
95987,2024-11,UB. ONE,UBI AVENUE 4,Geylang,Resale,"$715,000","$7,688",93,60 yrs from 31/12/2008,11/15/2024,Multiple-User Factory,Strata,Non-First Floor,Central Region,40,14,,,,,,,,,
95988,2024-11,TOH GUAN CENTRE,TOH GUAN ROAD EAST,Clementi,Resale,"$625,000","$4,960",126,60 yrs from 01/12/1997,11/15/2024,Multiple-User Factory,Strata,Non-First Floor,West Region,60,22,,,,,,,,,
95989,2024-11,FRONTIER,UBI AVENUE 3,Geylang,Resale,"$1,400,000","$4,130",339,60 yrs from 04/01/1999,11/15/2024,Multiple-User Factory,Strata,First Floor,Central Region,40,14,,,,,,,,,
95990,2024-11,VERTEX,UBI AVENUE 3,Geylang,Resale,"$940,000","$5,839",161,60 yrs from 01/01/2007,11/15/2024,Multiple-User Factory,Strata,Non-First Floor,Central Region,40,14,,,,,,,,,
95991,2024-11,REVV,CORPORATION DRIVE,Jurong West,Resale,"$850,000","$5,215",163,30 yrs from 22/01/2019,11/15/2024,Multiple-User Factory,Strata,Non-First Floor,West Region,61,22,,,,,,,,,
95992,2024-11,HARVEST @ WOODLANDS,WOODLANDS INDUSTRIAL PARK E5,Woodlands,Resale,"$1,050,000","$5,932",177,60 yrs from 05/10/2009,11/15/2024,Multiple-User Factory,Strata,Non-First Floor,North Region,75,27,,,,,,,,,
95993,2024-11,UBI TECHPARK,UBI CRESCENT,Geylang,Resale,"$918,888","$6,471",142,60 yrs from 05/07/1997,11/15/2024,Multiple-User Factory,Strata,Non-First Floor,Central Region,40,14,,,,,,,,,
95994,2024-11,SYNERGY @ KB,KAKI BUKIT ROAD 4,Bedok,Resale,"$440,000","$3,548",124,30 yrs from 20/01/2012,11/15/2024,Multiple-User Factory,Strata,Non-First Floor,East Region,41,14,,,,,,,,,
95995,2024-11,ASCENT @ GAMBAS,GAMBAS WAY,Sembawang,Resale,"$780,000","$4,643",168,26 yrs from 13/09/2023,11/14/2024,Multiple-User Factory,Strata,Non-First Floor,North Region,75,27,,,,,,,,,
95996,2024-11,UBI CENTRE,UBI AVENUE 1,Geylang,Resale,"$630,000","$5,780",109,60 yrs from 10/03/1997,11/14/2024,Multiple-User Factory,Strata,Non-First Floor,Central Region,40,14,,,,,,,,,
95997,2024-11,HARPER POINT,HARPER ROAD,Toa Payoh,Resale,"$810,000","$23,143",35,Freehold,11/14/2024,Multiple-User Factory,Strata,Non-First Floor,Central Region,36,13,,,,,,,,,
