ID,Month Year,Project Name,Street Name,Planning Area,Type of Sale,Price,$psm,Area,Tenure,Contract Date,Property Type,Type Of Area,Floor Level,Region,Postal Sector,Postal District,,,,,,,,,
50680,2022-12,FOOD VISION @ MANDAI,MANDAI ESTATE,Sungei Kadut,New Sale,"$5,590,000 ","$17,200 ",325,Freehold,12/21/2022,Multiple-User Factory,Strata,Non-First Floor,North Region,72,25,,,,,,,,,
50681,2022-12,LINKPOINT PLACE,TUAS VIEW PLACE,Tuas,Resale,"$3,000,000 ","$4,167 ",720,60 yrs from 20/11/1995,12/21/2022,Single-User Factory,Land,-,West Region,63,22,,,,,,,,,
50682,2022-12,ONE COMMONWEALTH,COMMONWEALTH LANE,Queenstown,Resale,"$430,000 ","$3,282 ",131,30 yrs from 01/03/2008,12/20/2022,Multiple-User Factory,Strata,Non-First Floor,Central Region,14,3,,,,,,,,,
50683,2022-12,WCEGA PLAZA,BUKIT BATOK CRESCENT,Bukit Batok,Resale,"$1,364,000 ","$3,058 ",446,60 yrs from 13/03/1997,12/20/2022,Multiple-User Factory,Strata,Non-First Floor,West Region,65,23,,,,,,,,,
50684,2022-12,SING INDUSTRIAL COMPLEX,ANG MO KIO INDUSTRIAL PARK 2,Serangoon,Resale,"$350,000 ","$2,201 ",159,60 yrs from 18/10/1982,12/20/2022,Multiple-User Factory,Strata,Non-First Floor,North-East Region,56,20,,,,,,,,,
50685,2022-12,WCEGA PLAZA,BUKIT BATOK CRESCENT,Bukit Batok,Resale,"$698,888 ","$3,092 ",226,60 yrs from 13/03/1997,12/19/2022,Multiple-User Factory,Strata,Non-First Floor,West Region,65,23,,,,,,,,,
50686,2022-12,ENTREPRENEUR BUSINESS CENTRE,KAKI BUKIT ROAD 3,Bedok,Resale,"$2,400,000 ","$9,160 ",262,60 yrs from 09/01/1995 ETC,12/19/2022,Multiple-User Factory,Strata,First Floor,East Region,41,14,,,,,,,,,
50687,2022-12,100 PASIR PANJANG,PASIR PANJANG ROAD,Queenstown,Resale,"$3,300,000 ","$15,421 ",214,Freehold,12/19/2022,Multiple-User Factory,Strata,Non-First Floor,Central Region,11,5,,,,,,,,,
50688,2022-12,TRADEHUB 21,BOON LAY WAY,Clementi,Resale,"$760,000 ","$5,429 ",140,60 yrs from 10/12/2003,12/19/2022,Multiple-User Factory,Strata,Non-First Floor,West Region,60,22,,,,,,,,,
50689,2022-12,,LOYANG CRESCENT,Pasir Ris,Resale,"$3,380,000 ",$649 ,5211,30 yrs from 01/09/1999,12/19/2022,Single-User Factory,Land,-,East Region,50,17,,,,,,,,,
50690,2022-12,PROXIMA@GAMBAS,GAMBAS CRESCENT,Sembawang,Resale,"$460,000 ","$2,690 ",171,30 yrs from 25/11/2014,12/19/2022,Multiple-User Factory,Strata,Non-First Floor,North Region,75,27,,,,,,,,,
50691,2022-12,PIONEER POINT,SOON LEE STREET,Jurong West,Resale,"$300,888 ","$3,343 ",90,30 yrs from 17/10/2011,12/19/2022,Multiple-User Factory,Strata,Non-First Floor,West Region,62,22,,,,,,,,,
50692,2022-12,PIONEER POINT,SOON LEE STREET,Jurong West,Resale,"$450,000 ","$4,412 ",102,30 yrs from 17/10/2011,12/16/2022,Multiple-User Factory,Strata,First Floor,West Region,62,22,,,,,,,,,
50693,2022-12,ONE SIMS LANE,SIMS LANE,Geylang,Resale,"$1,780,000 ","$10,289 ",173,Freehold,12/16/2022,Multiple-User Factory,Strata,Non-First Floor,Central Region,38,14,,,,,,,,,
50694,2022-12,,JOO KOON CIRCLE,Pioneer,Resale,"$11,250,000 ","$1,020 ",11030,30+30 yrs from 01/07/1980,12/16/2022,Single-User Factory,Land,-,West Region,62,22,,,,,,,,,
50695,2022-12,M-SPACE,MANDAI ESTATE,Sungei Kadut,Resale,"$1,250,000 ","$9,766 ",128,Freehold,12/16/2022,Multiple-User Factory,Strata,Non-First Floor,North Region,72,25,,,,,,,,,
50696,2022-12,ISPACE,SOON LEE STREET,Jurong West,Resale,"$548,000 ","$3,490 ",157,30 yrs from 05/03/2012,12/16/2022,Multiple-User Factory,Strata,Non-First Floor,West Region,62,22,,,,,,,,,
50697,2022-12,ONE KA @ MACPHERSON,KAMPONG AMPAT,Toa Payoh,New Sale,"$1,383,000 ","$8,485 ",163,Freehold,12/16/2022,Multiple-User Factory,Strata,Non-First Floor,Central Region,36,13,,,,,,,,,
50698,2022-12,UNITY CENTRE,BUKIT BATOK CRESCENT,Bukit Batok,Resale,"$625,000 ","$4,310 ",145,60 yrs from 13/03/1997,12/16/2022,Multiple-User Factory,Strata,Non-First Floor,West Region,65,23,,,,,,,,,
50699,2022-12,A'POSH BIZHUB,YISHUN INDUSTRIAL STREET 1,Yishun,Resale,"$818,000 ","$5,565 ",147,60 yrs from 26/08/2010,12/15/2022,Multiple-User Factory,Strata,Non-First Floor,North Region,76,27,,,,,,,,,
50700,2022-12,EUNOS TECHNOLINK,KAKI BUKIT ROAD 1,Bedok,Resale,"$1,228,000 ","$4,264 ",288,60 yrs from 09/07/1996,12/15/2022,Multiple-User Factory,Strata,Non-First Floor,East Region,41,14,,,,,,,,,
50701,2022-12,TRADEHUB 21,BOON LAY WAY,Clementi,Resale,"$780,000 ","$5,865 ",133,60 yrs from 10/12/2003,12/15/2022,Multiple-User Factory,Strata,Non-First Floor,West Region,60,22,,,,,,,,,
50702,2022-12,SING INDUSTRIAL COMPLEX,ANG MO KIO INDUSTRIAL PARK 2,Serangoon,Resale,"$638,800 ","$2,393 ",267,60 yrs from 18/10/1982,12/15/2022,Multiple-User Factory,Strata,Non-First Floor,North-East Region,56,20,,,,,,,,,
50703,2022-12,S9,SERANGOON NORTH AVENUE 4,Serangoon,Resale,"$860,000 ","$5,342 ",161,58 yrs from 02/07/2012,12/14/2022,Multiple-User Factory,Strata,Non-First Floor,North-East Region,55,19,,,,,,,,,
50704,2022-12,YI XIU FACTORY BUILDING,SIMS AVENUE,Geylang,Resale,"$3,562,900 ","$8,503 ",419,Freehold,12/14/2022,Multiple-User Factory,Strata,Non-First Floor,Central Region,38,14,,,,,,,,,
50705,2022-12,TRIVEX,BURN ROAD,Toa Payoh,Resale,"$1,100,000 ","$7,639 ",144,60 yrs from 20/05/2008,12/14/2022,Multiple-User Factory,Strata,Non-First Floor,Central Region,36,13,,,,,,,,,
50706,2022-12,TAGORE 8,TAGORE INDUSTRIAL AVENUE,Ang Mo Kio,Resale,"$1,500,000 ","$6,787 ",221,Freehold,12/14/2022,Multiple-User Factory,Strata,Non-First Floor,North-East Region,78,26,,,,,,,,,
50707,2022-12,WCEGA PLAZA,BUKIT BATOK CRESCENT,Bukit Batok,Resale,"$750,000 ","$3,348 ",224,60 yrs from 13/03/1997,12/14/2022,Multiple-User Factory,Strata,Non-First Floor,West Region,65,23,,,,,,,,,
