Postal District,Floor Level,Floor Area (SQM),25th Percentile ($ PSM),Median ($PSM),75th Percentile ($PSM),Reference Period
01,Level 2 & 3,>300,61.94,96.58,115.36,2023Q2
01,Level 4 & Above,>30 - 100,62.39,78.42,105.75,2023Q2
01,Level 4 & Above,>100 - 300,57.29,71.43,123.32,2023Q2
01,Level 4 & Above,>300,63.36,69.96,69.97,2023Q2
01,B1 & Below,30 & Below,190.77,285.80,412.00,2023Q3
01,B1 & Below,>30 - 100,122.06,158.40,231.66,2023Q3
01,B1 & Below,>100 - 300,119.61,233.00,363.30,2023Q3
01,B1 & Below,>300,90.46,112.04,217.47,2023Q3
01,Level 1,30 & Below,166.67,192.31,301.33,2023Q3
01,Level 1,>30 - 100,127.72,184.21,274.43,2023Q3
01,Level 1,>100 - 300,106.50,152.73,188.19,2023Q3
01,Level 1,>300,88.67,177.20,251.12,2023Q3
01,Level 2 & 3,30 & Below,82.37,125.43,217.67,2023Q3
01,Level 2 & 3,>30 - 100,60.00,116.10,169.90,2023Q3
01,Level 2 & 3,>100 - 300,86.11,129.16,145.55,2023Q3
01,Level 2 & 3,>300,91.62,92.06,112.99,2023Q3
01,Level 4 & Above,>30 - 100,74.19,88.35,131.18,2023Q3
01,Level 4 & Above,>100 - 300,77.05,84.16,98.33,2023Q3
01,Level 4 & Above,>300,82.91,114.48,153.40,2023Q3
01,B1 & Below,30 & Below,98.44,173.66,308.14,2023Q4
01,B1 & Below,>30 - 100,91.80,127.87,194.94,2023Q4
01,B1 & Below,>100 - 300,69.94,163.09,261.04,2023Q4
01,B1 & Below,>300,50.59,55.97,221.72,2023Q4
01,Level 1,30 & Below,156.53,241.38,325.64,2023Q4
01,Level 1,>30 - 100,135.31,167.81,266.67,2023Q4
01,Level 1,>100 - 300,107.09,147.06,177.93,2023Q4
01,Level 1,>300,85.00,105.35,129.15,2023Q4
01,Level 2 & 3,30 & Below,74.82,105.55,174.87,2023Q4
01,Level 2 & 3,>30 - 100,81.57,97.49,160.50,2023Q4
01,Level 2 & 3,>100 - 300,66.45,94.90,134.47,2023Q4
01,Level 2 & 3,>300,53.86,69.96,77.82,2023Q4
01,Level 4 & Above,>30 - 100,66.38,70.69,83.00,2023Q4
01,Level 4 & Above,>100 - 300,100.00,107.66,110.09,2023Q4
01,B1 & Below,30 & Below,126.26,296.93,428.87,2024Q1
01,B1 & Below,>30 - 100,79.90,129.52,155.97,2024Q1
01,B1 & Below,>100 - 300,84.79,155.11,524.67,2024Q1
01,B1 & Below,>300,62.75,80.44,169.09,2024Q1
01,Level 1,30 & Below,161.25,255.06,300.76,2024Q1
01,Level 1,>30 - 100,118.23,164.08,213.39,2024Q1
01,Level 1,>100 - 300,77.16,130.18,188.94,2024Q1
01,Level 1,>300,103.20,110.88,162.70,2024Q1
01,Level 2 & 3,30 & Below,71.63,122.93,162.31,2024Q1
01,Level 2 & 3,>30 - 100,56.37,103.03,127.59,2024Q1
01,Level 2 & 3,>100 - 300,66.99,87.67,129.00,2024Q1
